"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessAfter","thrpt",1,25,96018.283186,1504.860140,"ops/s"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessAfter:·gc.alloc.rate","thrpt",1,25,0.000039,0.000000,"MB/sec"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessAfter:·gc.alloc.rate.norm","thrpt",1,25,0.000451,0.000008,"B/op"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessAfter:·gc.count","thrpt",1,25,0.000000,NaN,"counts"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore","thrpt",1,25,79932.397957,1324.064902,"ops/s"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore:·gc.alloc.rate","thrpt",1,25,812.047300,19.845782,"MB/sec"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore:·gc.alloc.rate.norm","thrpt",1,25,11187.200541,161.059687,"B/op"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore:·gc.churn.PS_Eden_Space","thrpt",1,25,811.790272,20.414665,"MB/sec"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore:·gc.churn.PS_Eden_Space.norm","thrpt",1,25,11183.316936,160.768217,"B/op"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore:·gc.churn.PS_Survivor_Space","thrpt",1,25,0.024273,0.006423,"MB/sec"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore:·gc.churn.PS_Survivor_Space.norm","thrpt",1,25,0.334687,0.089454,"B/op"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore:·gc.count","thrpt",1,25,3389.000000,NaN,"counts"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore:·gc.time","thrpt",1,25,2220.000000,NaN,"ms"
